,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
527,김진호,3,1:48:03,23,7,8,16,50.00%,2,8,25.00%,1,1,100.00%,3,3,2,3,1,4,1,0,0,4,6,0,0,3,0,0,11,0,0,1999,명지대학교,MBC배 대학리그
528,김진호,2,0:07:14,2,1,0,1,0.00%,0,0,0.00%,2,2,100.00%,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,경희대학교,MBC배 대학리그
529,김진호,3,1:29:47,44,14,12,19,63.20%,3,9,33.30%,11,17,64.70%,3,7,3,7,2.3,3,1,0,0,4,7,0,0,2,0,0,8,0,0,2000,명지대학교,MBC배 대학리그
530,김창모,5,0:32:37,11,2,2,3,66.70%,1,2,50.00%,4,4,100.00%,4,8,2,3,0.6,1,0,0,0,0,1,0,0,1,0,0,4,0,0,2012,연세대학교,대학농구리그
531,김창모,3,1:02:36,5,1,1,5,20.00%,1,2,50.00%,0,0,0.00%,4,20,8,2,0.7,1,0,0,0,2,3,0,0,1,0,0,3,0,0,2012,연세대학교,MBC배 대학리그
532,김창모,16,3:35:22,60,3,21,41,51.20%,4,10,40.00%,6,9,66.70%,10,32,2,14,0.9,7,0,0,0,4,12,0,0,6,3,4,15,0,0,2013,연세대학교,대학농구리그
533,김창모,5,0:46:27,14,2,5,8,62.50%,0,1,0.00%,4,4,100.00%,2,4,1,3,0.6,1,1,0,0,0,2,0,0,0,2,0,3,2,0,2013,연세대학교,MBC배 대학리그
534,김철욱,16,1:22:22,34,2,16,25,64.00%,0,0,0.00%,2,4,50.00%,9,12,1,3,0.2,0,3,0,0,15,5,0,0,3,2,1,10,0,0,2012,경희대학교,대학농구리그
535,김철욱,3,0:25:57,7,2,3,6,50.00%,0,0,0.00%,1,2,50.00%,2,8,3,1,0.3,0,1,0,0,4,1,0,0,0,0,1,5,0,0,2012,경희대학교,MBC배 대학리그
536,김철욱,16,2:44:12,82,5,38,61,62.30%,0,0,0.00%,6,10,60.00%,18,28,2,4,0.3,5,5,3,4,15,8,0,0,5,3,0,10,0,0,2013,경희대학교,대학농구리그
537,김철욱,5,0:32:17,7,1,3,3,100.00%,0,0,0.00%,1,2,50.00%,3,3,1,0,0,0,1,0,0,1,2,0,0,1,0,0,2,0,0,2013,경희대학교,MBC배 대학리그
538,김철욱,16,8:12:02,258,16,103,175,58.90%,0,1,0.00%,52,71,73.20%,60,90,9,12,0.8,4,12,2,2,18,33,0,0,7,7,0,27,0,0,2014,경희대학교,대학농구리그
539,김철욱,5,3:03:41,102,20,40,70,57.10%,0,1,0.00%,22,28,78.60%,25,29,10,5,1,3,4,0,0,8,8,0,0,3,0,3,8,0,0,2014,경희대학교,MBC배 대학리그
540,김철욱,16,7:33:22,255,15,97,174,55.70%,0,4,0.00%,61,83,73.50%,51,106,9,5,0.3,7,5,0,1,17,17,0,0,14,3,1,45,6,2,2016,경희대학교,대학농구리그
541,김철욱,3,0:27:26,11,3,4,9,44.40%,0,0,0.00%,3,4,75.00%,6,6,4,3,1,0,0,0,0,2,3,0,0,1,0,0,1,0,0,2016,경희대학교,MBC배 대학리그
542,김태술,4,1:16:21,23,5,6,11,54.50%,1,5,20.00%,8,10,80.00%,2,7,2,2,0.5,3,1,0,0,6,3,0,0,2,0,0,8,0,0,2003,연세대학교,MBC배 대학리그
543,김태술,7,3:48:29,72,10,18,29,62.10%,9,17,52.90%,9,19,47.40%,9,15,3,24,3.4,16,0,0,0,5,10,0,0,7,0,0,17,0,0,2004,연세대학교,MBC배 대학리그
544,김태술,7,4:07:47,121,17,29,40,72.50%,12,31,38.70%,27,36,75.00%,8,28,5,13,1.9,12,0,0,0,10,9,0,0,7,0,0,20,0,0,2005,연세대학교,MBC배 대학리그
545,김태술,6,3:24:37,100,16,28,55,50.90%,10,20,50.00%,14,19,73.70%,6,12,3,21,3.5,13,2,0,0,7,9,0,0,2,0,0,7,0,0,2006,연세대학교,MBC배 대학리그
546,김태완,4,2:07:56,50,12,19,36,52.80%,0,0,0.00%,12,15,80.00%,15,23,9,3,0.8,1,5,0,0,3,15,0,0,5,0,0,12,0,0,1999,한양대학교,MBC배 대학리그
547,김태완,6,3:35:12,102,17,39,67,58.20%,0,0,0.00%,24,26,92.30%,18,24,7,3,0.5,6,2,0,0,9,11,0,0,10,0,0,15,0,0,2000,한양대학교,MBC배 대학리그
548,김태완,5,2:50:36,92,18,37,63,58.70%,1,2,50.00%,15,17,88.20%,24,46,14,4,0.8,3,6,0,0,7,8,0,0,13,0,0,13,0,0,2001,한양대학교,MBC배 대학리그
549,김태우,2,0:09:08,0,0,0,0,0.00%,0,0,0.00%,0,0,0.00%,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,4,0,0,2006,단국대학교,MBC배 대학리그
550,김태우,3,0:49:47,11,3,4,7,57.10%,0,0,0.00%,3,4,75.00%,0,3,1,2,0.7,1,1,0,0,1,4,0,0,5,0,0,6,0,0,2007,단국대학교,MBC배 대학리그
551,김태우,5,2:06:56,35,7,11,22,50.00%,2,10,20.00%,7,10,70.00%,4,8,2,3,0.6,4,0,0,0,7,8,0,0,7,0,0,8,0,0,2008,단국대학교,MBC배 대학리그
552,김태주,5,2:02:04,35,7,10,15,66.70%,4,4,100.00%,3,8,37.50%,3,14,3,8,1.6,4,0,0,0,2,7,0,0,1,0,0,17,0,0,2006,고려대학교,MBC배 대학리그
553,김태주,6,1:17:46,7,1,2,6,33.30%,1,9,11.10%,0,2,0.00%,1,7,1,5,0.8,2,1,0,0,4,6,0,0,1,0,0,4,0,0,2007,고려대학교,MBC배 대학리그
554,김태형,5,2:09:22,50,10,13,22,59.10%,3,12,25.00%,15,24,62.50%,9,15,4,18,3.6,14,2,0,0,8,9,0,0,14,0,0,6,0,0,2007,성균관대학교,MBC배 대학리그
555,김태형,4,1:08:58,19,4,6,15,40.00%,1,4,25.00%,4,5,80.00%,4,8,3,4,1,0,0,0,0,4,6,0,0,2,0,0,4,0,0,2008,성균관대학교,MBC배 대학리그
556,김태형,6,2:33:48,63,10,12,18,66.70%,7,15,46.70%,18,28,64.30%,4,10,2,9,1.5,10,1,0,0,3,7,0,0,5,0,0,11,0,0,2009,성균관대학교,MBC배 대학리그
557,김태형,4,1:49:17,27,6,5,14,35.70%,2,9,22.20%,11,15,73.30%,2,7,2,3,0.8,3,0,0,0,3,2,0,0,4,0,0,9,0,0,2010,성균관대학교,MBC배 대학리그
558,김태홍,4,2:31:29,58,14,15,20,75.00%,9,20,45.00%,1,4,25.00%,2,16,4,2,0.5,1,7,0,0,7,2,0,0,1,0,0,7,0,0,2010,고려대학교,MBC배 대학리그
559,김태환,4,0:21:09,2,0,1,2,50.00%,0,1,0.00%,0,2,0.00%,1,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,4,0,0,2005,단국대학교,MBC배 대학리그
560,김태환,5,2:20:34,41,8,14,26,53.80%,2,8,25.00%,7,8,87.50%,2,6,1,4,0.8,4,0,0,0,5,12,0,0,5,0,0,10,0,0,2006,단국대학교,MBC배 대학리그
561,김태환,4,2:17:04,28,7,6,18,33.30%,4,13,30.80%,4,4,100.00%,3,4,1,6,1.5,7,0,0,0,5,3,0,0,4,0,0,17,0,0,2007,단국대학교,MBC배 대학리그
562,김학섭,5,2:13:40,51,10,19,34,55.90%,2,13,15.40%,7,14,50.00%,7,14,4,19,3.8,9,0,0,0,6,7,0,0,6,0,0,15,0,0,2002,한양대학교,MBC배 대학리그
563,김학섭,5,0:45:05,10,2,1,5,20.00%,1,2,50.00%,5,8,62.50%,3,5,1,1,0.2,3,1,0,0,4,3,0,0,3,0,0,5,0,0,2003,한양대학교,MBC배 대학리그
564,김학섭,4,2:08:44,41,10,9,19,47.40%,5,23,21.70%,8,9,88.90%,2,15,4,18,4.5,9,0,0,0,3,7,0,0,3,0,0,6,0,0,2004,한양대학교,MBC배 대학리그
565,김학섭,6,2:54:44,74,12,20,31,64.50%,10,23,43.50%,4,10,40.00%,11,28,6,22,3.7,10,0,0,0,6,11,0,0,8,0,0,18,0,0,2005,한양대학교,MBC배 대학리그
