,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
151,김기성,3.0,00:37:58,6.0,2.0,0.0,5.0,0.0%,2.0,4.0,50.0%,0.0,0.0,0.0%,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2010.0,명지대학교
152,김기성,22.0,10:32:52,295.0,13.0,61.0,115.0,53.0%,54.0,124.0,43.5%,11.0,14.0,78.6%,16.0,55.0,3.0,37.0,1.7,23.0,2.0,0.0,0.0,10.0,20.0,0.0,0.0,7.0,31.0,18.0,36.0,10.0,3.0,2011.0,명지대학교
153,김기성,3.0,01:24:30,10.0,3.0,3.0,18.0,16.7%,1.0,10.0,10.0%,1.0,4.0,25.0%,0.0,7.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,0.0,5.0,3.0,2.0,0.0,2011.0,명지대학교
154,김기성,22.0,12:41:52,383.0,17.0,109.0,210.0,51.9%,49.0,120.0,40.8%,18.0,22.0,81.8%,37.0,63.0,4.0,81.0,3.7,29.0,0.0,0.0,0.0,28.0,31.0,0.0,0.0,10.0,33.0,9.0,62.0,12.0,0.0,2012.0,명지대학교
155,김기윤,3.0,00:00:00,0.0,0.0,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012.0,연세대학교
156,김기윤,20.0,06:22:35,147.0,7.0,36.0,57.0,63.2%,16.0,58.0,27.6%,27.0,38.0,71.1%,9.0,33.0,2.0,74.0,3.7,19.0,6.0,0.0,0.0,15.0,24.0,0.0,0.0,9.0,14.0,5.0,35.0,37.0,5.0,2012.0,연세대학교
157,김기윤,22.0,07:03:48,98.0,4.0,27.0,56.0,48.2%,4.0,29.0,13.8%,32.0,43.0,74.4%,6.0,40.0,2.0,87.0,4.0,20.0,1.0,0.0,0.0,24.0,31.0,0.0,0.0,15.0,15.0,11.0,52.0,0.0,0.0,2011.0,연세대학교
158,김기윤,5.0,02:09:53,46.0,9.0,10.0,18.0,55.6%,6.0,20.0,30.0%,8.0,10.0,80.0%,2.0,10.0,2.0,11.0,2.2,6.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,4.0,1.0,8.0,11.0,4.0,2013.0,연세대학교
159,김기윤,5.0,01:14:10,19.0,3.0,6.0,10.0,60.0%,1.0,7.0,14.3%,4.0,4.0,100.0%,3.0,2.0,1.0,8.0,1.6,1.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,2.0,1.0,9.0,3.0,1.0,2014.0,연세대학교
160,김기윤,16.0,05:23:29,124.0,7.0,31.0,60.0,51.7%,16.0,38.0,42.1%,14.0,17.0,82.4%,8.0,25.0,2.0,38.0,2.4,16.0,0.0,0.0,0.0,3.0,28.0,0.0,0.0,6.0,13.0,0.0,18.0,8.0,0.0,2014.0,연세대학교
