,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교,대회명
1279,유태민,3.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016.0,고려대학교,대학농구리그
1280,유태민,16.0,1:22:04,20.0,1.0,7.0,19.0,36.80%,2.0,12.0,16.70%,0.0,0.0,0.00%,2.0,5.0,0.0,3.0,0.2,3.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,1.0,3.0,7.0,2.0,3.0,2017.0,고려대학교,대학농구리그
1281,유태민,12.0,1:37:50,24.0,2.0,2.0,6.0,33.30%,6.0,17.0,35.30%,2.0,3.0,66.70%,2.0,7.0,0.0,5.0,0.4,3.0,1.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,2.0,1.0,10.0,1.0,0.0,2018.0,고려대학교,대학농구리그
1282,유태민,5.0,1:21:22,34.0,6.0,8.0,12.0,66.70%,6.0,15.0,40.00%,0.0,0.0,0.00%,3.0,0.0,0.0,4.0,0.8,4.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,6.0,2.0,9.0,2.0,0.0,2018.0,고려대학교,MBC배 대학리그
1283,유한길,2.0,0:27:18,0.0,0.0,0.0,1.0,0.00%,0.0,2.0,0.00%,0.0,0.0,0.00%,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,연세대학교,MBC배 대학리그
1284,유효수,3.0,1:34:20,29.0,9.0,8.0,14.0,57.10%,3.0,9.0,33.30%,4.0,6.0,66.70%,3.0,6.0,3.0,15.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,2020.0,단국대학교,대학농구리그
1285,유효수,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020.0,단국대학교,대학농구리그
1286,유효수,2.0,0:15:01,0.0,0.0,0.0,6.0,0.00%,0.0,1.0,0.00%,0.0,0.0,0.00%,0.0,3.0,1.0,3.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2021.0,단국대학교,대학농구리그
1287,유효수,3.0,0:26:25,15.0,5.0,2.0,2.0,100.00%,2.0,3.0,66.70%,5.0,5.0,100.00%,0.0,5.0,1.0,2.0,0.7,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2021.0,단국대학교,대학농구리그
1288,유효재,2.0,0:30:29,3.0,1.0,0.0,0.0,0.00%,1.0,4.0,25.00%,0.0,0.0,0.00%,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2002.0,성균관대학교,MBC배 대학리그
1289,유효재,2.0,0:31:15,2.0,1.0,1.0,2.0,50.00%,0.0,4.0,0.00%,0.0,0.0,0.00%,2.0,3.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2003.0,성균관대학교,MBC배 대학리그
1290,유효재,3.0,1:26:05,13.0,4.0,1.0,2.0,50.00%,2.0,7.0,28.60%,5.0,6.0,83.30%,0.0,7.0,2.0,2.0,0.7,12.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,2004.0,성균관대학교,MBC배 대학리그
1291,유효재,5.0,1:14:11,17.0,3.0,1.0,6.0,16.70%,2.0,11.0,18.20%,9.0,9.0,100.00%,2.0,10.0,2.0,5.0,1.0,4.0,1.0,0.0,0.0,3.0,8.0,0.0,0.0,2.0,0.0,0.0,9.0,0.0,0.0,2005.0,성균관대학교,MBC배 대학리그
1292,윤길수,3.0,0:10:33,8.0,2.0,4.0,4.0,100.00%,0.0,0.0,0.00%,0.0,4.0,0.00%,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,고려대학교,MBC배 대학리그
1293,윤길수,1.0,0:03:56,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2000.0,고려대학교,MBC배 대학리그
1294,윤도빈,1.0,0:00:00,0.0,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017.0,연세대학교,MBC배 대학리그
