,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
1150,석명준,-0.23700595,-0.018636595,0.15660217,0.7533989,-0.3169727,-0.37147355,0.40907702,1.3821818,1.4170188,0.4721551,-0.6599045,-0.5962584,-0.7450186,-0.25619185,-0.3577722,-0.17051773,-0.5437446,-0.7235776,-0.5521873,-0.49301296,-0.14352098,-0.15011856,-0.25047818,-0.7115468,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.3225073,-0.35471886,-0.3217548,2001.0,중앙대학교
1151,석명준,-0.57500607,-0.7208128,-0.6555938,-0.8563959,-0.66789275,-0.75328183,2.5403597,-0.3992088,-0.47729784,0.8555915,-0.50722766,-0.54247725,0.58015335,-0.71743417,-0.7316496,-1.1857603,-0.5437446,-0.65309525,-0.6725543,-0.49301296,-0.14352098,-0.15011856,-0.78640914,-0.83583397,-0.1270635,-0.7550667,-0.5202168,-0.488042,-0.6310913,-0.35471886,-0.3217548,2000.0,중앙대학교
1152,석승호,-0.91300625,-0.6070965,-0.68097496,-0.37345746,-0.5899105,-0.58358926,-0.16721389,-0.6218826,-0.5515848,-1.0858586,-0.50722766,-0.43491495,-0.21431422,-0.5856506,-0.6485657,-0.17051773,-0.008680547,2.6595783,-0.43182024,-0.3057304,-0.14352098,-0.15011856,-0.38446093,-0.3386851,-0.1270635,0.5687353,-0.5202168,-0.488042,-0.47679928,-0.35471886,-0.3217548,2001.0,단국대학교
1153,석승호,-0.91300625,-0.7106787,-0.7698089,-0.8563959,-0.745875,-0.7744934,0.05634724,-0.51054573,-0.5144413,0.12754771,-0.6599045,-0.65003955,-0.21431422,-0.5197589,-0.7731915,-0.50893193,-0.5437446,-0.5121304,-0.5521873,-0.49301296,-0.14352098,-0.15011856,-0.92039186,-0.9601212,-0.1270635,-0.18772297,-0.5202168,-0.488042,-0.3225073,-0.35471886,-0.3217548,1999.0,단국대학교
1154,석승호,-0.91300625,-0.5284598,-0.5667599,0.43143997,-0.5509194,-0.5623777,0.05634724,-0.3992088,-0.29158053,-0.11513355,-0.43088922,-0.43491495,0.31639013,-0.19030008,-0.482398,1.5215532,-0.18703523,1.6023421,-0.31145322,-0.3057304,-0.14352098,-0.15011856,-0.51844364,-0.4629723,-0.1270635,0.0013916092,-0.5202168,-0.488042,-0.47679928,-0.35471886,-0.3217548,2002.0,단국대학교
1155,석종태,-0.74400616,-0.36514485,-0.33832976,0.7533989,-0.16100822,-0.032088425,-0.28147846,-0.6218826,-0.6630151,-1.0858586,-0.12553559,-0.05844692,0.15114087,0.33683398,-0.3162303,1.8599674,-0.30593836,0.33365864,-0.31145322,-0.118447855,-0.14352098,-0.15011856,-0.25047818,-0.3386851,-0.1270635,-0.5659521,-0.23938891,-0.488042,-0.01392331,0.3397641,-0.3217548,2014.0,동국대학교
1156,석종태,0.1009942,-0.59218764,-0.46523538,-0.8563959,-0.3169727,-0.20178099,-0.3709029,-0.6218826,-0.6630151,-1.0858586,-0.2782124,0.15667768,-0.68146116,-0.38797536,-0.6070238,-0.84734607,-0.48429304,-0.65309525,0.17001493,-0.49301296,-0.14352098,-0.15011856,-0.11649545,-0.58725953,-0.1270635,-0.18772297,-0.37980285,-0.12352814,-0.47679928,-0.07692568,-0.3217548,2013.0,동국대학교
1157,석종태,1.4529948,2.1747139,2.1617112,0.9143784,2.7243345,2.470877,0.45875725,0.15747572,-0.03157628,0.913835,2.0119398,2.2003613,0.27825567,3.0383961,2.5501628,1.5215532,0.94254446,0.2631762,1.8551534,0.63068235,-0.14352098,-0.15011856,1.0893492,-0.21439788,-0.1270635,1.7034228,0.7435087,-0.12352814,1.7604345,5.062248,4.7929296,2014.0,동국대학교
1158,석종태,1.621995,0.84656215,1.2226094,0.10948099,1.7885478,1.6436256,0.39914095,-0.6218826,-0.6630151,-1.0858586,1.6302477,1.716331,0.3386352,2.577154,0.80540174,0.50631064,0.28857726,-0.23020075,0.7718501,1.3798126,-0.14352098,-0.15011856,1.8932456,0.6556127,-0.1270635,1.3251936,0.88392264,-0.12352814,0.91182864,2.7010062,2.600922,2012.0,동국대학교
1159,석종태,-0.74400616,-0.62278485,-0.5033071,0.10948099,-0.35596383,-0.39268512,0.3047485,-0.6218826,-0.6630151,-1.0858586,-0.3545508,-0.38113382,0.46575004,-0.25619185,-0.3577722,0.84472483,-0.5437446,-0.65309525,-0.5521873,0.25611725,-0.14352098,-0.15011856,-0.78640914,-0.4629723,-0.1270635,-0.37683752,-0.5202168,-0.488042,-0.5539453,-0.07692568,0.40891442,2012.0,동국대학교
