,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
185,김동우,3.0,6600,37.0,12.0,11.0,25.0,440,4.0,14.0,286,3.0,6.0,500,10.0,9.0,6.0,4.0,1.3,3.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2010.0,조선대학교
186,김동우,3.0,6610,42.0,14.0,6.0,21.0,286,9.0,24.0,375,3.0,4.0,750,4.0,14.0,6.0,1.0,0.3,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,2011.0,조선대학교
187,김동우,3.0,4853,40.0,13.0,11.0,23.0,478,3.0,10.0,300,9.0,12.0,750,5.0,13.0,6.0,3.0,1.0,1.0,5.0,0.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,9.0,0.0,0.0,2000.0,연세대학교
188,김동우,3.0,4633,21.0,7.0,8.0,13.0,615,0.0,5.0,0,5.0,6.0,833,0.0,8.0,2.0,9.0,3.0,4.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,0.0,6.0,3.0,0.0,2020.0,단국대학교
189,김동우,5.0,3253,11.0,2.0,3.0,5.0,600,0.0,1.0,0,5.0,7.0,714,2.0,3.0,1.0,1.0,0.2,2.0,1.0,0.0,0.0,4.0,2.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,2003.0,한양대학교
190,김동우,22.0,46480,522.0,23.0,136.0,234.0,581,53.0,157.0,338,91.0,124.0,734,34.0,43.0,3.0,22.0,1.0,30.0,1.0,0.0,0.0,14.0,8.0,0.0,0.0,19.0,42.0,15.0,22.0,0.0,0.0,2012.0,조선대학교
191,김동우,3.0,4122,34.0,11.0,6.0,20.0,300,2.0,6.0,333,16.0,23.0,696,3.0,3.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,1999.0,연세대학교
192,김동우,2.0,1693,0.0,0.0,0.0,1.0,0,0.0,3.0,0,0.0,0.0,0,0.0,2.0,1.0,12.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2021.0,단국대학교
193,김동우,6.0,7740,35.0,5.0,17.0,33.0,515,0.0,3.0,0,1.0,4.0,250,11.0,4.0,2.0,6.0,1.0,4.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,3.0,0.0,0.0,10.0,0.0,0.0,2005.0,한양대학교
194,김동우,3.0,4166,48.0,16.0,17.0,29.0,586,4.0,15.0,267,2.0,4.0,500,8.0,4.0,4.0,1.0,0.3,4.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,2012.0,조선대학교
195,김동우,22.0,45854,333.0,15.0,79.0,167.0,473,43.0,179.0,240,46.0,57.0,807,36.0,72.0,4.0,13.0,0.6,39.0,7.0,0.0,0.0,18.0,29.0,0.0,0.0,20.0,20.0,18.0,23.0,0.0,0.0,2011.0,조선대학교
196,김동우,4.0,6098,34.0,8.0,13.0,25.0,520,1.0,4.0,250,5.0,6.0,833,6.0,5.0,2.0,6.0,1.5,6.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,2004.0,한양대학교
197,김동우,3.0,2248,9.0,3.0,1.0,3.0,333,1.0,2.0,500,4.0,8.0,500,2.0,4.0,2.0,4.0,1.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2021.0,단국대학교
198,김동우,4.0,5336,31.0,7.0,9.0,20.0,450,3.0,22.0,136,4.0,5.0,800,4.0,7.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,2009.0,조선대학교
199,김동우,5.0,9554,76.0,15.0,19.0,46.0,413,8.0,24.0,333,14.0,16.0,875,15.0,35.0,10.0,9.0,1.8,4.0,1.0,0.0,0.0,6.0,11.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,2002.0,연세대학교
200,김동우,5.0,9789,101.0,20.0,32.0,59.0,542,10.0,29.0,345,7.0,8.0,875,10.0,20.0,6.0,5.0,1.0,5.0,7.0,0.0,0.0,10.0,8.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,2001.0,연세대학교
201,김동우,3.0,378,0.0,0.0,0.0,1.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,2.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2020.0,단국대학교
202,김동우,3.0,816,8.0,2.0,3.0,6.0,500,0.0,0.0,0,2.0,3.0,667,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999.0,명지대학교
203,김동욱,3.0,1144,0.0,0.0,0.0,2.0,0,0.0,1.0,0,0.0,0.0,0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2010.0,동국대학교
204,김동욱,4.0,8353,77.0,19.0,22.0,37.0,595,9.0,25.0,360,6.0,9.0,667,13.0,23.0,9.0,4.0,1.0,3.0,1.0,0.0,0.0,8.0,9.0,0.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,2004.0,고려대학교
