,Unnamed: 0,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
1182,4197,정규경기,1997,21,로버트 윌커슨,부산기아,17.0,7.7,12.9,59.6,1.7,2.7,63.2,0.0,0.0,0.0,3.8,5.4,9.1,1.5,1.5,2.5,0.6,3.1
1183,6279,플레이오프,1997,19,로버트 윌커슨,부산기아,15.3,6.5,9.5,68.4,2.3,3.2,73.7,0.0,0.0,0.0,3.5,4.8,8.3,0.5,0.7,1.0,0.2,3.5
1184,2985,정규경기,2004-2005,18,로버트 잭슨,대구오리온스,19.9,8.7,14.0,61.4,2.4,3.2,74.2,0.0,0.0,0.0,3.4,7.8,11.1,1.3,2.4,1.3,0.9,3.1
1185,2052,정규경기,2010-2011,63,로버트 커밍스,창원LG,6.1,2.7,5.1,52.9,0.8,1.0,75.5,2.0,3.2,62.5,1.4,1.6,3.0,0.2,0.7,0.4,0.3,1.9
1186,2666,정규경기,2006-2007,16,로베르토 버거슨,원주동부,17.3,7.0,11.8,53.2,2.5,2.8,90.9,4.3,8.0,53.1,2.0,0.5,2.5,3.8,2.5,1.5,0.3,3.3
1187,4203,정규경기,1997,27,로이 해먼즈,대구동양,13.4,5.9,9.0,65.3,1.6,2.8,58.6,0.0,0.0,0.0,2.0,4.4,6.4,0.6,2.0,1.9,1.2,3.1
1188,6282,플레이오프,1997,22,로이 해먼즈,대구동양,14.2,6.7,11.0,61.2,0.7,1.3,57.1,0.0,0.0,0.0,2.9,5.1,8.0,0.4,2.0,1.7,0.6,3.4
1189,1176,정규경기,2015-2016,64,론 하워드,서울삼성,7.1,2.7,5.7,43.2,1.3,2.0,67.9,1.3,2.7,50.0,0.3,1.2,1.5,2.0,1.2,0.3,0.1,1.6
1190,2657,정규경기,2006-2007,7,루 로,서울SK,21.3,8.4,12.6,58.7,3.6,4.9,74.0,6.1,9.7,62.9,3.0,5.6,8.6,2.6,3.3,1.1,1.9,2.9
1191,3747,정규경기,1999-2000,15,루이스 로프튼,대구동양,20.2,8.2,12.4,59.2,3.0,4.1,73.0,0.0,0.0,0.0,2.5,6.4,8.9,2.6,2.2,1.8,0.2,2.8
1192,3606,정규경기,2000-2001,23,루이스 로프튼,부산기아,18.0,7.5,10.5,65.6,2.3,3.6,63.4,0.0,0.0,0.0,2.1,5.6,7.8,2.2,1.9,1.4,0.4,2.9
1193,2971,정규경기,2004-2005,4,루크 화이트헤드,대구오리온스,25.8,10.2,19.0,47.4,4.3,6.7,65.0,0.0,0.0,0.0,5.7,5.8,11.5,1.7,2.3,1.5,1.2,3.3
1194,2824,정규경기,2005-2006,18,루크 화이트헤드,서울SK,19.4,8.1,13.4,54.2,2.3,3.4,66.7,0.0,0.0,0.0,2.1,6.8,8.9,3.0,1.9,0.6,0.5,2.6
1195,2465,정규경기,2008-2009,146,류광식,원주동부,1.1,0.6,1.0,57.1,0.0,0.0,0.0,0.6,0.9,66.7,0.1,0.3,0.4,0.6,0.7,0.1,0.0,0.1
1196,2304,정규경기,2009-2010,146,류광식,원주동부,0.7,0.2,0.5,25.0,0.2,0.3,75.0,0.1,0.5,28.6,0.2,0.1,0.3,0.3,0.7,0.5,0.1,0.6
1197,5319,플레이오프,2009-2010,66,류광식,원주동부,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1198,2137,정규경기,2010-2011,148,류광식,원주동부,1.0,0.3,0.6,55.6,0.3,0.3,80.0,0.2,0.4,58.3,0.2,0.3,0.4,0.4,0.3,0.1,0.1,1.0
1199,5218,플레이오프,2010-2011,65,류광식,원주동부,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,4801,플레이오프,2015 KBL D리그,21,류영환,모비스,4.0,2.0,4.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0
1201,6900,D리그 1차,2015 KBL D리그,55,류영환,모비스,7.7,3.0,5.5,45.5,1.2,1.5,80.0,0.0,0.0,0.0,1.5,1.5,3.0,0.1,1.9,0.3,0.1,3.2
1202,7853,D리그 2차,2015 KBL D리그,40,류영환,모비스,6.8,2.5,3.3,46.2,0.8,1.5,50.0,0.0,0.0,0.0,0.8,0.8,1.5,0.8,0.5,0.3,0.5,2.3
1203,6816,D리그 1차,2016 KBL D리그,90,류영환,모비스,5.1,1.9,2.3,56.3,0.9,1.6,54.5,0.0,0.0,0.0,2.0,2.4,4.4,0.6,0.9,0.3,0.3,2.0
1204,7750,D리그 2차,2016 KBL D리그,31,류영환,모비스,10.8,4.3,5.5,72.7,2.0,2.0,100.0,0.0,0.0,0.0,3.3,3.0,6.3,1.3,1.3,0.5,0.0,2.8
1205,1096,정규경기,2016-2017,175,류영환,울산모비스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
1206,6682,D리그 1차,2017 KBL D리그,28,류영환,SK,9.2,4.0,5.6,60.7,0.6,0.6,100.0,2.6,3.8,68.4,2.2,3.2,5.4,1.0,0.6,1.0,0.6,1.8
1207,7670,D리그 2차,2017 KBL D리그,22,류영환,SK,11.6,4.6,6.2,58.1,1.4,2.2,63.6,2.6,3.8,68.4,1.8,2.8,4.6,1.0,0.6,0.6,0.2,2.0
1208,6625,D리그 1차,2018 KBL D리그,38,류영환,SK,6.8,3.0,3.4,70.6,0.2,0.8,25.0,1.8,2.4,75.0,1.6,3.8,5.4,0.6,0.4,0.4,0.0,1.2
1209,7617,D리그 2차,2018 KBL D리그,48,류영환,SK,7.0,3.0,5.3,52.4,0.8,2.5,30.0,2.5,4.3,58.8,2.5,2.8,5.3,0.8,2.0,0.3,0.5,2.8
1210,702,정규경기,2018-2019,164,류영환,서울SK,1.2,0.4,0.6,37.5,0.3,0.5,66.7,0.1,0.2,33.3,0.4,0.6,1.0,0.2,0.2,0.2,0.0,0.7
