,경기,년도,순위,선수명,팀,PTS,FG,FGA,FG%,FT,FTA,FT%,PP,PPA,PP%,REB_OFF,REB_DEF,REB_TOT,AST,TO,STL,BS,DF
4293,정규경기,2003-2004,8,퍼넬 페리,부산KTF,1.7764142,1.810755,1.8367318,0.5402973,1.6893605,1.764587,0.49796084,-0.53075624,-0.5539209,-0.7869104,1.8248409,1.6000724,1.7223827,0.002084778,0.5976725,0.36062118,1.40968,0.04846331
4294,정규경기,2006-2007,50,퍼비스 파스코,창원LG,0.22827451,0.32651383,0.31701064,0.92442733,0.3484151,1.2434764,-0.4034809,1.6340184,1.404431,1.46004,1.9099642,1.5143758,1.7223827,-0.46573353,0.5976725,0.9825373,2.6105902,0.96841764
4295,플레이오프,2006-2007,32,퍼비스 파스코,창원LG,-0.24169637,-0.45094576,-0.47687364,1.1272827,1.054176,1.5561428,0.09531682,0.4376956,0.25040215,1.5585904,0.54799086,1.3001342,1.0966734,-0.7330582,-0.4399344,-1.0386901,3.411197,1.704381
4296,정규경기,2006-2007,65,폴 밀러,대구오리온스,-0.172583,-0.062216017,0.24896339,0.026685322,-0.28676963,-0.2677446,0.38377813,0.32376006,0.49519613,0.8555971,0.29262078,0.1432294,0.20280306,-0.7330582,-0.062622756,-0.572253,0.20876984,0.96841764
4297,정규경기,1998-1999,79,표명일,부산기아,-0.5457952,-0.52162397,-0.47687364,0.3935511,-0.35734573,-0.31985566,0.15240817,-0.53075624,-0.5539209,-0.7869104,-0.6437358,-0.6280404,-0.6612716,-0.064746425,-0.15695068,0.36062118,-0.39168528,0.23245409
4298,플레이오프,1998-1999,46,표명일,부산기아,-0.9328301,-0.87501466,-0.4315088,-1.0911764,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,0.37774414,-0.9708269,-0.54208887,0.73722786,-0.6285902,-0.26129493,-0.591837,1.060413
4299,정규경기,1999-2000,70,표명일,부산기아,-0.5319725,-0.62764114,-0.56760323,-0.102796726,-0.07504138,-0.21563357,0.8615423,-0.53075624,-0.5539209,-0.7869104,-0.3883658,-0.75658536,-0.6612716,-0.13157755,-0.4399344,0.67157936,-0.39168528,0.23245409
4300,플레이오프,1999-2000,59,표명일,부산기아,-0.9328301,-0.87501466,-0.6583329,-0.5171394,-0.85137826,-0.8930775,-1.6204273,-0.53075624,-0.5539209,-0.7869104,-0.89910585,-0.9708269,-0.989024,-0.59939593,-1.1002297,-1.0386901,-0.591837,0.60043585
4301,정규경기,1997,55,표필상,안양SBS,-0.6701993,-0.5923021,-0.56760323,0.92442733,-0.569074,-0.6846332,1.0087779,-0.53075624,-0.5539209,-0.7869104,-0.3883658,-0.4994954,-0.48249748,-0.6662271,-0.817246,-0.41677395,0.20876984,-0.043532133
4302,플레이오프,1997,34,표필상,안양SBS,-0.40756842,-0.3449286,-0.25004956,0.6999919,-0.28676963,-0.4761889,1.3843786,-0.53075624,-0.5539209,-0.7869104,0.20749743,-0.113860495,-0.0057666865,-0.93355185,-0.6285902,0.2051422,0.008618152,1.9803672
4303,정규경기,1997-1998,97,표필상,안양SBS,-0.79460335,-0.73365843,-0.54492086,-0.007843356,-0.7102261,-0.7367442,0.09531682,-0.53075624,-0.5539209,-0.7869104,-0.13299587,-0.19955717,-0.18454072,-0.8667206,-0.6285902,-0.41677395,0.40892154,0.32444963
