,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교_건국대학교,대학교_경희대학교,대학교_고려대학교,대학교_단국대학교,대학교_동국대학교,대학교_명지대학교,대학교_상명대학교,대학교_성균관대학교,대학교_연세대학교,대학교_조선대학교,대학교_중앙대학교,대학교_한양대학교,EFF,키
290,조용상,4,6367,38,9.5,7,12,0.583333333,6,15,0.4,6,10,0.6,6,11,4.25,0,0.0,1,4,0,0,10,6,0,7,0,0,11,0,0,2009,0,0,0,0,0,1,0,0,0,0,0,0,200,192.8
291,조효현,4,6632,47,11.75,11,20,0.55,2,11,0.181818182,19,26,0.730769231,2,8,2.5,12,3.0,6,0,0,0,4,13,0,5,0,0,5,0,0,2010,0,0,0,0,0,0,0,1,0,0,0,0,198,178.0
292,주긴완,3,5468,34,11.33333333,15,25,0.6,0,5,0.0,4,4,1.0,11,25,12.0,6,2.0,7,5,0,0,7,4,0,6,2,0,10,0,0,2016,0,0,0,0,0,1,0,0,0,0,0,0,33,192.0
293,주지훈,5,4418,46,9.2,21,31,0.677419355,0,1,0.0,4,5,0.8,13,12,5.0,0,0.0,5,0,1,1,5,3,0,1,0,1,4,0,0,2014,0,0,0,0,0,0,0,0,1,0,0,0,48,201.0
294,진경석,4,9355,120,30.0,19,34,0.558823529,20,48,0.416666667,22,29,0.75862069,6,16,5.5,5,1.25,6,2,0,0,4,6,0,5,0,0,9,0,0,2001,0,0,0,0,0,0,0,1,0,0,0,0,593,189.0
295,차민석,4,6840,33,8.25,10,32,0.3125,3,11,0.272727273,4,4,1.0,6,10,4.0,4,1.0,4,0,0,0,2,1,0,4,0,0,2,0,0,2010,1,0,0,0,0,0,0,0,0,0,0,0,12,194.0
296,차바위,22,48766,489,22.22727273,112,201,0.55721393,63,176,0.357954545,76,95,0.8,72,114,8.454545455,73,3.318181818,28,7,0,0,26,42,0,22,35,8,76,15,3,2011,0,0,0,0,0,0,0,0,0,0,0,1,576,192.0
297,차재영,7,14582,122,17.42857143,29,53,0.547169811,16,49,0.326530612,16,22,0.727272727,16,29,6.428571429,11,1.571428571,13,8,0,0,9,11,0,11,0,0,15,0,0,2007,0,0,1,0,0,0,0,0,0,0,0,0,354,193.0
298,천기범,6,10921,56,9.333333333,14,29,0.482758621,6,24,0.25,10,12,0.833333333,25,15,6.666666667,19,3.166666667,21,1,0,0,4,17,0,2,1,0,9,3,0,2016,0,0,0,0,0,0,0,0,1,0,0,0,557,186.0
299,천대현,4,6419,37,9.25,6,11,0.545454545,6,19,0.315789474,7,10,0.7,5,19,6.0,9,2.25,7,7,0,0,6,10,0,11,0,0,5,0,0,2007,0,0,0,0,1,0,0,0,0,0,0,0,346,193.0
300,천일환,3,1900,11,3.666666667,2,5,0.4,1,3,0.333333333,4,6,0.666666667,5,2,2.333333333,1,0.333333333,2,0,0,0,4,6,0,4,0,0,1,0,0,2003,0,1,0,0,0,0,0,0,0,0,0,0,7,184.0
