,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
319,김병수,5,00:10:00,0,0,0,1,0.0%,0,1,0.0%,0,0,0.0%,2,1,0.0,1,0.2,0,1,0,0,3,1,0,0,0,0,0,0,0,0,2017.0,고려대학교
320,하도현,5,02:41:46,101,20,44,57,77.2%,2,10,20.0%,7,12,58.3%,11,27,7.0,14,2.8,7,2,0,0,7,8,0,0,2,11,2,14,3,2,2017.0,단국대학교
321,권시현,5,03:04:43,94,18,26,43,60.5%,10,39,25.6%,12,15,80.0%,6,17,4.0,19,3.8,8,0,0,0,2,7,0,0,4,11,4,8,2,2,2017.0,단국대학교
322,전태영,5,02:49:06,72,14,19,29,65.5%,9,28,32.1%,7,14,50.0%,4,17,4.0,36,7.2,11,3,0,0,5,12,0,0,2,4,2,10,5,1,2017.0,단국대학교
323,홍순규,5,02:44:58,45,9,21,40,52.5%,0,0,0.0%,3,8,37.5%,11,20,6.0,17,3.4,6,1,0,0,5,7,0,0,1,5,1,12,1,0,2017.0,단국대학교
324,김영현,5,01:05:31,14,2,5,14,35.7%,0,0,0.0%,4,6,66.7%,4,8,2.0,3,0.6,0,3,0,0,3,5,0,0,0,0,1,6,0,0,2017.0,단국대학교
325,원종훈,5,02:38:11,14,2,3,11,27.3%,2,9,22.2%,2,2,100.0%,8,16,4.0,16,3.2,12,0,0,0,4,14,0,0,1,1,1,12,1,1,2017.0,단국대학교
326,권태완,5,00:53:53,13,2,0,2,0.0%,4,6,66.7%,1,4,25.0%,1,5,1.0,6,1.2,0,0,0,0,2,2,0,0,0,0,0,2,1,0,2017.0,단국대학교
327,윤원상,2,00:28:03,9,4,1,5,20.0%,2,9,22.2%,1,1,100.0%,1,1,1.0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,3,0,1,2017.0,단국대학교
328,이승찬,5,00:05:18,4,0,2,2,100.0%,0,0,0.0%,0,0,0.0%,1,1,0.0,0,0.0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2017.0,단국대학교
