,선수명,경기수,전체 출전시간,득점 전체,득점 평균,2점슛 성공,2점슛 시도,2점슛 성공률,3점슛 성공,3점슛 시도,3점슛 성공률,자유투 성공,자유투 시도,자유투 성공률,공격 리바운드,수비 리바운드,평균 리바운드,전체 어시스트,평균 어시스트,스틸,블록,덩크슛 성공,덩크슛 시도,파울(자유튜유),파울(자유투무),IDF,테크니컬 파울,굿디펜스,속공,FBF,턴오버,팀 리바운드,팀 턴오버,대회년도,대학교
299,문정현,3,01:42:49,39,13,16,31,51.6%,0,6,0.0%,7,10,70.0%,16,12,9.0,13,4.3,4,1,0,0,1,6,0,0,0,3,2,5,0,1,2020,고려대학교
300,여준형,3,00:39:43,23,7,10,14,71.4%,0,1,0.0%,3,4,75.0%,7,3,3.0,1,0.3,0,1,0,0,2,2,0,0,0,0,0,1,0,0,2020,고려대학교
301,김태완,3,01:02:30,15,5,5,9,55.6%,1,6,16.7%,2,2,100.0%,3,4,2.0,8,2.7,5,1,0,0,2,5,0,0,0,3,1,6,0,1,2020,고려대학교
302,최성현,3,01:08:49,10,3,4,6,66.7%,0,4,0.0%,2,2,100.0%,4,14,6.0,10,3.3,2,0,0,0,2,2,0,0,1,0,1,1,3,0,2020,고려대학교
303,김형진,2,00:31:18,8,4,2,7,28.6%,0,2,0.0%,4,6,66.7%,0,3,1.0,8,4.0,2,0,0,0,1,2,0,0,0,1,1,2,1,0,2020,고려대학교
304,박민우,2,00:12:40,6,3,3,3,100.0%,0,1,0.0%,0,0,0.0%,0,1,0.0,2,1.0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,2020,고려대학교
305,하윤기,1,00:07:03,3,3,1,3,33.3%,0,0,0.0%,1,2,50.0%,0,3,3.0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,고려대학교
306,조재우,3,01:30:24,68,22,31,47,66.0%,0,0,0.0%,6,12,50.0%,7,17,8.0,1,0.3,1,3,1,1,3,5,0,0,0,2,0,14,0,0,2020,단국대학교
307,조종민,3,01:16:46,37,12,7,18,38.9%,7,19,36.8%,2,2,100.0%,1,10,3.0,14,4.7,7,0,0,0,0,2,0,0,1,3,3,8,2,2,2020,단국대학교
308,윤성준,3,01:23:29,30,10,9,18,50.0%,4,15,26.7%,0,0,0.0%,4,11,5.0,10,3.3,8,0,0,0,3,8,0,0,0,4,3,9,2,0,2020,단국대학교
